Symbol,Name,Sector,Industry
PTC,PTC Inc. Common Stock,Technology,Computer Software: Prepackaged Software
PYPL,PayPal Holdings Inc. Common Stock,Consumer Discretionary,Business Services
QCOM,QUALCOMM Incorporated Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
QRVO,Qorvo Inc. Common Stock,Technology,Semiconductors
REG,Regency Centers Corporation Common Stock,Real Estate,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
RIVN,Rivian Automotive Inc. Class A Common Stock,Consumer Discretionary,Auto Manufacturing
ROP,Roper Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,Health Care,Biotechnology: Pharmaceutical Preparations
RYAAY,Ryanair Holdings plc American Depositary Shares,Consumer Discretionary,Air Freight/Delivery Services
SAIA,Saia Inc. Common Stock,Industrials,Trucking Freight/Courier Services
SBAC,SBA Communications Corporation Class A Common Stock,Real Estate,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Restaurants
SIRI,Sirius XM Holdings Inc. Common Stock,Consumer Discretionary,Broadcasting
SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing
SNPS,Synopsys Inc. Common Stock,Technology,Computer Software: Prepackaged Software
SNY,Sanofi ADS,Health Care,Biotechnology: Pharmaceutical Preparations
SRAD,Sportradar Group AG Class A Ordinary Shares,Technology,Computer Software: Programming Data Processing
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Pharmaceutical Preparations
SSNC,SS&C Technologies Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
STLD,Steel Dynamics Inc.,Industrials,Steel/Iron Ore
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,Technology,Semiconductors
SYM,Symbotic Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
TCOM,Trip.com Group Limited American Depositary Shares,Consumer Discretionary,Business Services
TECH,Bio-Techne Corp Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment
TPG,TPG Inc. Class A Common Stock,Finance,Investment Managers
TRMB,Trimble Inc. Common Stock,Industrials,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
TSCO,Tractor Supply Company Common Stock,Consumer Discretionary,RETAIL: Building Materials
TSLA,Tesla Inc. Common Stock,Consumer Discretionary,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
TTEK,Tetra Tech Inc. Common Stock,Consumer Discretionary,Military/Government/Technical
TTWO,Take-Two Interactive Software Inc. Common Stock,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors
TXRH,Texas Roadhouse Inc. Common Stock,Consumer Discretionary,Restaurants
UAL,United Airlines Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ULTA,Ulta Beauty Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
UTHR,United Therapeutics Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
VOD,Vodafone Group Plc American Depositary Shares,Telecommunications,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,Consumer Discretionary,Business Services
VRSN,VeriSign Inc. Common Stock,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Technology,EDP Services
VTRS,Viatris Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
WBA,Walgreens Boots Alliance Inc. Common Stock,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components
WING,Wingstop Inc. Common Stock,Consumer Discretionary,Restaurants
WMG,Warner Music Group Corp. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,Finance,Specialty Insurers
WWD,Woodward Inc. Common Stock,Energy,Industrial Machinery/Components
WYNN,Wynn Resorts Limited Common stock,Consumer Discretionary,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,Utilities,Power Generation
Z,Zillow Group Inc. Class C Capital Stock,Consumer Discretionary,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,Industrials,Industrial Machinery/Components
ZG,Zillow Group Inc. Class A Common Stock,Consumer Discretionary,Business Services
ZM,Zoom Video Communications Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,Technology,EDP Services
