年度/季別,營業現金對流動負債比%,營業現金對負債比%,營業現金流對淨利比%,負債佔資產比%,長期資金佔固定資產比%,流動比%,速動比%,應收帳款收現(天),存貨週轉(天),營運週轉(天),單季ROE%,單季ROA%,毛利率%,營業利益率%,稅前淨利率%,稅後淨利率%,單季營業利益季增率%,近4季營業利益季增率%,季收盤價成長率y,每股盈餘,每股盈餘季增率,每股盈餘年增率,每股淨值,本益比(倍),股價淨值比(倍),代碼,股票名稱,產業
2021Q1,34.43,23.29,163.03,33.51,136.11,172.26,148.9,38.93,76.09,115.02,7.37,4.92,52.38,41.54,42.79,38.56,-4.19,3.88,-0.0255333020051647,5.39,-0.02,0.1951219512195121,74.77,30.313333333333333,,2330,台積電,半導體類
2020Q4,41.99,28.47,181.43,32.97,137.8,176.97,154.72,38.41,66.78,105.2,7.85,5.29,54.0,43.46,44.56,39.51,4.71,6.16,0.0135365857175333,5.5,0.0377358490566037,0.2276785714285714,71.33,,,2330,台積電,半導體類
2020Q3,32.33,22.44,138.43,32.15,136.09,175.04,156.43,39.41,52.96,92.37,7.83,5.4,53.45,42.1,43.52,38.54,14.46,8.57,0.102147813281929,5.3,0.1373390557939913,0.358974358974359,68.93,,,2330,台積電,半導體類
2020Q2,27.71,23.42,140.9,29.71,122.79,139.89,125.94,42.87,50.57,93.44,7.12,5.05,52.99,42.19,43.9,38.91,2.0,12.54,0.2021392785436777,4.66,0.0332594235033261,0.813229571984436,66.35,,,2330,台積電,半導體類
2020Q1,34.44,30.47,173.44,28.43,121.94,136.13,122.86,41.46,48.44,89.9,7.1,5.08,51.76,41.38,42.55,37.69,3.44,17.24,0.3245345374623367,4.51,0.0066964285714283,0.90295358649789,64.64,,,2330,台積電,半導體類
2019Q4,34.36,31.58,174.84,28.38,123.79,139.25,125.21,40.45,51.17,91.63,7.23,5.28,50.18,39.16,40.59,36.59,15.16,4.81,0.133075084152083,4.48,0.1487179487179488,0.1636,62.53,,,2330,台積電,半導體類
2019Q3,28.65,25.93,140.21,25.62,136.85,171.68,152.14,40.16,60.03,100.19,6.44,4.62,47.57,36.82,38.33,34.5,41.39,3.69,-0.1889902689889926,3.9,0.5175097276264593,0.1336999999999999,61.2,,,2330,台積電,半導體類
2019Q2,18.92,17.19,176.35,30.59,141.49,162.34,144.95,41.62,71.08,112.7,4.05,3.02,43.04,31.66,33.42,27.71,18.73,-2.31,0.1963163090810655,2.57,0.0843881856540083,-0.0789,59.92,,,2330,台積電,半導體類
2019Q1,40.36,34.39,248.7,20.29,163.33,262.07,233.34,48.55,74.3,122.84,3.59,2.87,41.31,29.38,31.18,28.07,-40.01,-8.49,0.1293385143644867,2.37,-0.3843999999999999,-0.315,67.21,,,2330,台積電,半導體類
2023Q4,43.77,38.93,394.88,41.07,726.02,125.38,106.75,40.37,64.94,105.31,6.69,4.1,48.33,19.09,21.85,19.85,37.85,10.21,,16.16,0.3883161512027491,0.3883161512027491,231.31,20.15,3.8366666666666656,2454,聯發科,半導體類
2023Q3,7.69,6.7,80.6,36.12,780.66,137.33,109.88,43.64,88.95,132.58,4.88,2.9,47.41,16.3,19.07,16.87,21.65,-18.83,0.15485416209334388,11.64,0.1559086395233366,-0.4042988741044011,246.42,12.883333333333333,3.186666666666667,2454,聯發科,半導體類
2023Q2,17.45,15.88,291.73,44.54,728.94,118.79,95.99,42.14,113.91,156.05,4.54,2.52,47.53,15.03,18.72,16.32,2.66,-23.34,0.322773392263051,10.07,-0.0535714285714286,-0.5502456453774006,228.55,10.53,3.08,2454,聯發科,半導體類
2023Q1,1.16,1.05,16.92,44.65,656.39,118.04,89.99,40.98,126.63,167.61,4.32,2.77,48.0,15.02,19.97,17.66,-20.55,-17.43,0.066081661279493,10.64,-0.0859106529209622,-0.4938154138915318,211.37,9.716666666666669,2.716666666666667,2454,聯發科,半導體類
2022Q4,41.7,35.7,318.85,27.18,834.4,210.25,160.31,44.39,124.01,168.4,4.25,2.97,48.3,16.72,19.46,17.11,-45.28,-8.41,-0.1344394104840596,11.64,-0.4042988741044011,-0.3870458135860979,276.51,8.016666666666667,2.4966666666666666,2454,聯發科,半導體類
2022Q3,10.12,9.1,61.96,33.06,801.23,169.68,125.82,40.45,109.18,149.63,7.57,4.54,49.31,23.25,25.04,21.87,-15.64,2.8,0.2304765986810018,19.54,-0.1272889682894149,0.0904017857142855,267.28,8.126666666666667,2.4533333333333336,2454,聯發科,半導體類
2022Q2,11.08,10.52,99.84,46.25,743.53,132.26,103.77,36.54,103.02,139.57,8.39,4.95,49.29,25.16,26.29,22.87,7.44,8.32,0.126016840583487,22.39,0.0651760228353948,0.2838302752293578,245.16,10.88,2.8366666666666664,2454,聯發科,半導體類
2022Q1,13.05,12.16,91.99,35.67,890.03,177.47,139.51,38.86,103.19,142.05,7.51,4.88,50.3,25.55,26.61,23.41,22.7,15.06,-0.1667748330556548,21.02,0.1068983675618746,0.2967304133251078,285.61,15.403333333333334,3.8766666666666665,2454,聯發科,半導體類
2021Q4,11.72,10.89,82.05,34.38,886.83,164.31,129.6,39.98,98.62,138.6,7.24,4.75,49.61,23.1,26.43,23.43,1.48,15.31,-0.3294253014913569,18.99,0.0597098214285711,1.0288461538461535,271.52,18.08,,2454,聯發科,半導體類
2021Q3,-2.23,-2.06,-15.24,34.42,878.43,166.28,130.74,35.71,84.99,120.71,7.21,4.58,46.7,22.34,24.56,21.64,1.57,18.55,-0.273773642405649,17.92,0.0275229357798165,1.1282660332541572,249.91,19.65333333333333,,2454,聯發科,半導體類
2021Q2,12.31,11.56,101.97,38.56,952.33,157.62,129.99,33.93,79.74,113.68,6.89,4.53,46.19,22.95,25.14,21.95,42.76,37.18,0.2737736424056489,17.44,0.0758790869833436,2.807860262008734,244.07,32.26,,2454,聯發科,半導體類
2021Q1,-0.91,-0.83,-5.62,29.66,1061.45,207.14,171.58,33.1,71.34,104.44,6.54,4.6,44.91,18.7,26.91,23.86,31.39,33.31,-0.0610795069657803,16.21,0.7318376068376071,3.4532967032967035,260.17,41.23,,2454,聯發科,半導體類
2020Q4,26.85,24.31,258.15,29.75,975.68,202.97,176.76,33.18,57.73,90.91,4.18,2.92,44.46,15.95,17.52,15.51,5.09,26.84,-0.0072501612250597,9.36,0.1116389548693586,1.32258064516129,234.97,,,2454,聯發科,半導體類
2020Q3,23.61,21.32,238.2,30.44,904.56,200.19,177.19,34.28,56.26,90.54,4.02,2.75,44.23,15.04,15.86,13.74,97.26,28.7,0.2601994267579489,8.42,0.8384279475982532,0.9223744292237444,213.82,,,2454,聯發科,半導體類
2020Q2,5.02,4.51,98.18,32.95,866.09,186.94,161.19,40.92,81.86,122.78,2.24,1.54,43.5,10.97,12.62,10.81,27.81,5.05,0.207536394073319,4.58,0.2582417582417582,0.1143552311435522,203.43,,,2454,聯發科,半導體類
2020Q1,1.55,1.39,33.27,29.77,870.01,213.22,186.96,38.6,78.35,116.95,1.81,1.25,43.11,9.53,11.06,9.54,-6.81,11.67,0.047226313486503,3.64,-0.0967741935483871,0.6774193548387097,206.34,,,2454,聯發科,半導體類
2019Q4,14.94,13.57,306.88,31.46,822.17,203.46,182.39,39.83,70.91,110.74,2.04,1.4,42.49,9.62,10.9,9.86,-11.43,11.76,0.5698144224976885,4.03,-0.0799086757990866,0.6653,197.66,,,2454,聯發科,半導體類
2019Q3,5.6,5.1,104.2,31.08,829.47,216.49,192.34,39.06,71.8,110.86,2.3,1.52,42.08,10.46,11.82,10.27,14.42,3.69,-0.3032097466743275,4.38,0.0656934306569341,-0.0023,196.75,,,2454,聯發科,半導體類
2019Q2,9.26,8.64,217.37,36.18,752.53,185.26,164.9,38.9,77.0,115.9,2.26,1.49,41.89,9.98,13.03,10.56,93.88,11.77,0.1839011577091069,4.11,0.8940092165898619,-0.1347,181.69,,,2454,聯發科,半導體類
2019Q1,1.39,1.29,49.5,31.39,756.55,208.61,183.83,46.3,87.99,134.29,1.22,0.83,40.73,6.01,7.6,6.48,-17.71,7.66,0.1614036581322739,2.17,-0.1033,0.284,180.28,,,2454,聯發科,半導體類
2023Q4,8.35,7.07,273.62,57.2,502.99,159.01,120.73,45.22,38.9,84.12,3.45,1.46,6.12,2.64,3.61,3.15,6.02,2.9,,3.83,0.2315112540192927,0.3252595155709341,107.72,11.313333333333333,0.9966666666666668,2317,鴻海,其他電子類
2023Q3,3.28,2.78,139.03,58.48,521.43,156.51,118.15,51.91,47.83,99.74,2.9,1.21,6.66,2.99,3.71,3.08,49.23,-1.46,0.3713985535445581,3.11,0.3067226890756303,0.1107142857142857,107.13,11.82,1.0566666666666666,2317,鴻海,其他電子類
2023Q2,4.38,3.66,225.17,57.89,519.71,157.74,116.05,51.56,57.94,109.49,2.22,0.96,6.41,2.37,3.66,2.72,-23.68,-7.55,0.004796172263493,2.38,1.5591397849462365,-0.0083333333333333,100.47,11.533333333333331,1.0566666666666666,2317,鴻海,其他電子類
2023Q1,8.11,6.82,1031.81,56.2,511.84,159.47,112.48,55.46,57.38,112.84,0.84,0.35,6.04,2.77,1.4,0.93,-8.39,2.22,-0.0829969195709679,0.93,-0.6782006920415224,-0.5613207547169812,101.06,9.75,0.97,2317,鴻海,其他電子類
2022Q4,0.62,0.53,29.19,60.07,541.83,151.41,106.99,54.28,44.21,98.49,2.73,1.06,5.66,2.25,2.67,2.3,-8.89,-4.66,0.0829969195709678,2.89,0.0321428571428572,-0.096875,104.65,9.63,0.98,2317,鴻海,其他電子類
2022Q3,2.73,2.36,154.98,62.43,564.25,146.39,109.22,56.85,44.79,101.64,2.58,1.0,6.16,2.78,2.93,2.39,9.5,7.27,0.0402212134868646,2.8,0.1666666666666667,0.0486891385767789,104.53,10.346666666666666,1.0666666666666669,2317,鴻海,其他電子類
2022Q2,-1.49,-1.26,-85.75,59.8,578.02,152.19,114.64,54.18,47.94,102.11,2.19,0.88,6.4,2.94,3.11,2.3,20.91,7.5,-0.0208031276297631,2.4,0.1320754716981131,0.1162790697674418,100.33,10.68,1.08,2317,鴻海,其他電子類
2022Q1,3.13,2.67,208.22,59.29,584.34,151.68,113.33,65.27,48.53,113.81,1.87,0.76,6.02,2.61,2.62,2.1,-30.44,6.11,-0.0663750689448725,2.12,-0.3375,0.0443349753694581,100.0,10.243333333333334,1.0633333333333337,2317,鴻海,其他電子類
2021Q4,1.56,1.33,60.66,59.75,596.39,151.9,118.25,49.74,33.72,83.46,3.32,1.36,6.03,2.79,3.29,2.71,45.66,0.86,0.0279087881170766,3.2,0.198501872659176,-0.0332326283987914,99.59,10.48,,2317,鴻海,其他電子類
2021Q3,-2.89,-2.46,-133.33,58.53,598.82,154.94,118.7,55.88,40.65,96.53,2.63,1.12,6.3,2.57,3.41,2.8,11.44,2.65,0.0190481949706944,2.67,0.241860465116279,0.1973094170403586,95.91,11.38,,2317,鴻海,其他電子類
2021Q2,3.46,2.95,177.07,56.66,591.67,157.54,125.36,53.06,41.32,94.38,2.2,0.94,6.03,2.4,3.27,2.38,17.8,7.48,-0.0095694510161506,2.15,0.0591133004926109,0.303030303030303,94.02,13.410000000000002,,2317,鴻海,其他電子類
2021Q1,-7.78,-6.68,-431.89,57.93,578.66,154.4,117.46,57.39,43.16,100.55,2.12,0.87,5.8,2.05,2.91,2.3,-46.42,20.79,-0.0645385211375711,2.03,-0.3867069486404835,12.533333333333331,91.91,15.603333333333332,,2317,鴻海,其他電子類
2020Q4,8.49,7.39,309.68,59.88,589.59,150.54,120.16,37.17,30.64,67.81,3.69,1.5,5.69,2.56,3.08,2.61,58.92,1.57,-0.1017826943099423,3.31,0.4843049327354261,-0.0405797101449275,93.59,,,2317,鴻海,其他電子類
2020Q3,6.89,6.07,349.39,58.98,557.53,149.48,108.72,51.29,45.05,96.34,2.54,1.07,6.2,2.51,3.32,2.65,44.1,-1.01,0.2984929885559965,2.23,0.3515151515151515,0.009049773755656,87.36,,,2317,鴻海,其他電子類
2020Q2,-2.48,-2.1,-145.34,57.01,569.21,157.78,123.85,56.08,43.96,100.04,1.88,0.83,5.91,1.99,3.09,2.25,396.53,6.7,0.1728017964533588,1.65,10.0,0.3414634146341462,84.38,,,2317,鴻海,其他電子類
2020Q1,9.59,8.0,6148.79,54.67,578.65,166.57,127.98,81.52,53.15,134.67,0.16,0.07,4.5,0.49,0.63,0.23,-90.9,-10.08,-0.1088428174937006,0.15,-0.9565217391304348,-0.8951048951048951,87.45,,,2317,鴻海,其他電子類
2019Q4,6.76,5.83,199.47,57.85,569.8,155.28,124.16,53.2,33.34,86.54,4.1,1.67,6.47,2.86,3.61,3.23,48.54,-11.23,0.2107639488496176,3.45,0.5610859728506787,-0.1544,89.46,,,2317,鴻海,其他電子類
2019Q3,0.23,0.2,12.37,60.73,585.11,150.85,112.4,57.99,43.54,101.53,2.51,1.04,6.01,2.41,3.03,2.44,115.4,1.67,-0.261593636367483,2.21,0.7967479674796747,0.4075999999999999,87.05,,,2317,鴻海,其他電子類
2019Q2,0.05,0.04,4.02,56.64,575.06,163.25,124.35,56.59,46.79,103.37,1.31,0.59,5.31,1.34,2.46,1.55,-3.48,-0.23,0.2154638646399816,1.23,-0.1398601398601398,0.2178,87.76,,,2317,鴻海,其他電子類
2019Q1,9.83,7.98,542.43,54.01,604.4,173.97,131.16,74.84,54.02,128.86,1.77,0.75,5.53,1.53,2.89,2.29,-74.94,-6.28,-0.0557913596284155,1.43,-0.6495000000000001,0.0288,91.42,,,2317,鴻海,其他電子類
2023Q4,19.37,11.36,235.84,46.97,338.38,206.18,145.72,72.74,101.59,174.33,4.29,2.25,30.4,10.36,12.96,10.35,-12.89,-1.0,,3.46,-0.0388888888888889,0.1344262295081968,76.67,25.48,4.413333333333333,2308,台達電,電子零組件類
2023Q3,11.87,6.91,138.12,47.82,346.3,201.72,138.66,68.47,96.59,165.06,4.82,2.44,29.57,11.04,12.78,10.23,15.7,-3.81,0.0870113769896297,3.6,0.1464968152866241,-0.1549295774647886,76.03,26.36,5.0633333333333335,2308,台達電,電子零組件類
2023Q2,10.16,6.73,158.65,50.84,321.27,169.05,113.89,68.58,102.77,171.35,4.22,2.19,29.21,10.23,11.88,9.47,22.32,1.48,-0.0344861760711693,3.14,0.1804511278195488,0.0680272108843538,68.22,24.83333333333333,4.303333333333334,2308,台達電,電子零組件類
2023Q1,13.92,8.46,204.74,45.19,347.08,203.39,134.68,76.5,107.25,183.75,3.47,1.87,27.53,9.05,10.73,8.58,-22.0,2.26,-0.0598085543095685,2.66,-0.1278688524590162,0.1416309012875536,74.41,23.633333333333336,4.1000000000000005,2308,台達電,電子零組件類
2022Q4,13.08,8.16,179.81,47.08,348.68,192.34,128.47,72.01,93.85,165.86,4.09,2.13,28.03,10.2,10.91,8.61,-20.39,9.15,0.1349838257048375,3.05,-0.284037558685446,0.2655601659751037,71.91,23.616666666666664,4.026666666666666,2308,台達電,電子零組件類
2022Q3,9.59,5.63,96.39,48.81,361.27,198.34,134.21,66.31,91.19,157.5,5.87,2.97,30.29,12.74,14.28,11.5,40.22,17.88,0.0493717285940814,4.26,0.4489795918367347,0.7387755102040814,70.06,25.47,4.12,2308,台達電,電子零組件類
2022Q2,9.3,5.79,128.91,49.98,337.91,177.63,119.4,69.81,98.13,167.94,4.46,2.3,29.41,10.73,12.03,9.82,29.26,2.79,0.1243490474272739,2.94,0.2618025751072961,0.0068493150684931,62.62,23.48333333333333,3.706666666666667,2308,台達電,電子零組件類
2022Q1,6.75,4.01,102.41,46.59,341.77,194.6,129.78,73.87,99.93,173.8,3.54,1.85,27.28,9.05,10.35,8.28,2.24,-0.1,0.13296689924233,2.33,-0.0331950207468879,-0.0790513833992093,64.14,24.93,4.44,2308,台達電,電子零組件類
2021Q4,4.87,2.94,77.55,49.02,335.34,182.01,120.89,69.25,93.86,163.11,3.71,1.89,26.71,8.72,10.08,8.11,-6.08,-7.19,-0.1924283244637291,2.41,-0.0163265306122448,-0.1573426573426573,59.59,24.016666666666666,,2308,台達電,電子零組件類
2021Q3,5.74,3.36,89.49,49.36,335.17,185.53,125.33,68.63,93.06,161.68,3.71,1.87,28.3,9.77,10.41,8.28,-11.42,-7.32,-0.0239201837176519,2.45,-0.1609589041095889,-0.241486068111455,57.33,23.363333333333333,,2308,台達電,電子零組件類
2021Q2,5.17,3.35,73.05,50.06,324.52,164.59,115.29,66.87,86.01,152.88,4.47,2.32,30.06,11.15,12.8,10.24,17.05,-1.31,0.0873420101551478,2.92,0.1541501976284585,0.0,55.42,26.016666666666666,,2308,台達電,電子零組件類
2021Q1,11.63,7.12,159.81,45.98,347.42,184.77,133.98,72.17,83.17,155.34,3.87,2.07,29.81,10.35,12.16,9.72,-22.93,17.57,-0.1843037179979458,2.53,-0.1153846153846154,2.1625,59.21,29.886666666666667,,2308,台達電,電子零組件類
2020Q4,20.91,12.46,248.26,46.91,354.09,186.0,138.26,67.89,73.5,141.39,4.51,2.38,31.09,12.39,12.58,10.08,-6.84,16.08,0.0507723253734231,2.86,-0.1145510835913312,0.4591836734693877,56.17,,,2308,台達電,電子零組件類
2020Q3,10.06,5.64,96.06,47.29,362.98,191.96,141.95,65.67,74.43,140.11,5.38,2.81,31.94,13.45,14.62,11.73,12.76,22.25,0.0908064479581814,3.23,0.1061643835616439,0.6395939086294415,54.1,,,2308,台達電,電子零組件類
2020Q2,9.49,6.14,116.8,48.22,336.56,158.13,114.22,63.01,77.63,140.64,4.8,2.59,32.87,13.11,14.42,11.49,368.07,21.35,0.3304070171181222,2.92,2.65,-0.2043596730245231,51.22,,,2308,台達電,電子零組件類
2020Q1,10.98,6.7,401.44,43.64,351.34,175.12,128.53,79.31,84.96,164.26,1.29,0.72,26.48,3.56,5.09,4.0,-63.21,-5.97,0.1207636637945213,0.8,-0.5918367346938775,-0.3846153846153846,53.79,,,2308,台達電,電子零組件類
2019Q4,21.43,13.44,359.61,43.94,354.23,172.13,126.26,73.99,73.77,147.76,2.9,1.61,29.34,7.89,9.18,7.49,-2.53,-2.71,0.3293335983344114,1.96,-0.0050761421319797,-0.1552,53.96,,,2308,台達電,電子零組件類
2019Q3,12.95,7.54,203.66,44.82,380.49,184.84,137.63,73.68,71.51,145.19,3.03,1.65,28.2,7.62,8.98,7.37,2.82,-2.2,-0.2289358720187141,1.97,-0.4632152588555858,-0.1617,53.14,,,2308,台達電,電子零組件類
2019Q2,6.38,4.1,62.44,46.58,367.64,162.47,118.6,64.5,64.14,128.64,6.27,3.38,26.99,7.32,16.96,13.65,71.07,10.06,0.1340029795231469,3.67,1.8230769230769228,1.9127,51.97,,,2308,台達電,電子零組件類
2019Q1,8.57,5.31,185.07,45.46,392.64,211.27,166.61,82.52,76.4,158.93,2.43,1.31,26.33,5.8,7.3,6.39,-46.99,2.02,-0.1728428128394108,1.3,-0.4397,0.215,51.94,,,2308,台達電,電子零組件類
2023Q4,26.48,13.13,198.72,35.7,192.44,218.95,182.89,49.69,87.54,137.23,3.72,2.38,32.4,22.61,26.66,24.01,-18.86,-16.23,,1.06,-0.1782945736434108,-0.3161290322580645,28.67,8.833333333333334,1.81,2303,聯電,半導體類
2023Q3,20.7,9.66,119.37,36.04,214.35,238.17,198.46,48.67,87.42,136.08,4.72,2.9,35.85,26.83,32.68,27.98,-2.31,-17.68,-0.01919447682744424,1.29,0.0157480314960629,-0.410958904109589,27.97,7.366666666666667,1.7566666666666666,2303,聯電,半導體類
2023Q2,9.62,6.08,86.56,40.91,206.54,167.18,143.01,46.11,83.94,130.04,4.66,2.88,35.97,27.84,32.84,28.24,8.25,-12.95,0.1516190329054786,1.27,-0.0305343511450382,-0.2701149425287356,26.12,7.453333333333333,1.7533333333333332,2303,聯電,半導體類
2023Q1,25.47,13.89,164.57,35.31,230.9,228.52,197.65,53.16,82.0,135.16,4.74,3.03,35.46,26.71,35.29,30.22,-38.74,-7.53,-0.0704667111052519,1.31,-0.1548387096774193,-0.1863354037267081,28.41,7.333333333333333,1.92,2303,聯電,半導體類
2022Q4,37.72,20.73,214.21,37.07,248.26,232.46,203.84,54.27,71.11,125.38,5.88,3.63,42.93,34.84,36.16,28.19,-21.62,6.13,-0.0868395409208162,1.55,-0.2922374429223744,0.1832061068702291,26.8,6.463333333333334,1.72,2303,聯電,半導體類
2022Q3,36.75,19.44,145.18,39.32,275.88,247.15,219.28,52.36,65.07,117.43,9.14,5.37,47.3,40.0,42.9,36.27,7.08,18.04,0.2621752464157043,2.19,0.2586206896551724,0.5314685314685315,25.22,6.533333333333334,1.72,2303,聯電,半導體類
2022Q2,26.62,16.21,163.29,43.32,274.09,201.63,180.89,50.54,61.51,112.06,7.34,4.37,46.45,39.09,35.5,29.82,26.1,25.38,0.1296778233085328,1.74,0.0807453416149066,0.7755102040816326,22.66,8.836666666666666,1.906666666666667,2303,聯電,半導體類
2022Q1,32.34,16.67,150.1,37.4,297.65,268.13,240.85,51.96,60.65,112.62,6.88,4.24,43.37,35.21,37.29,31.64,26.78,28.46,-0.0908501532967953,1.61,0.2290076335877862,0.8941176470588237,24.19,12.56,2.49,2303,聯電,半導體類
2021Q4,25.44,14.64,167.59,39.45,276.26,221.21,199.39,51.91,57.71,109.62,5.94,3.58,39.09,29.81,30.75,27.08,16.39,30.24,-0.3215836241274623,1.31,-0.0839160839160838,0.423913043478261,22.51,15.143333333333333,,2303,聯電,半導體類
2021Q3,26.17,12.92,127.51,39.92,273.86,250.28,222.9,50.79,58.01,108.8,6.97,4.08,36.75,27.07,34.79,31.04,33.78,25.26,-0.1854032233313626,1.43,0.4591836734693877,0.9066666666666664,20.75,17.913333333333334,,2303,聯電,半導體類
2021Q2,27.2,12.74,194.86,43.04,271.55,244.5,218.1,52.46,57.43,109.89,4.84,2.91,31.25,22.22,25.92,23.31,48.43,20.86,0.0155041865359652,0.98,0.1529411764705881,0.7818181818181817,19.35,17.966666666666665,,2303,聯電,半導體類
2021Q1,23.28,12.64,184.86,36.67,249.73,228.04,199.74,53.99,58.23,112.23,4.07,2.56,26.53,16.18,23.32,21.0,35.74,19.12,0.1867061551117786,0.85,-0.0760869565217392,3.473684210526316,20.12,24.276666666666667,,2303,聯電,半導體類
2020Q4,20.54,11.34,147.59,37.55,225.4,209.99,181.17,53.88,59.33,113.2,4.77,2.92,23.95,12.4,24.8,24.04,-21.28,19.54,0.0561619015502095,0.92,0.2266666666666668,1.875,19.0,,,2303,聯電,半導體類
2020Q3,31.34,12.58,205.76,40.01,232.99,276.37,237.72,54.38,59.24,113.61,4.19,2.45,21.77,15.9,20.52,20.08,22.02,33.54,0.062681017618217,0.75,0.3636363636363635,2.0,17.79,,,2303,聯電,半導體類
2020Q2,25.19,10.36,271.08,43.08,229.44,257.96,222.11,56.6,59.95,116.55,2.88,1.66,23.11,13.17,15.01,13.63,71.23,42.1,0.5016770729774471,0.55,1.8947368421052635,2.666666666666667,17.24,,,2303,聯電,半導體類
2020Q1,24.11,9.85,1197.42,41.51,212.08,261.19,224.98,57.81,57.78,115.58,0.59,0.34,19.22,8.08,1.94,2.91,69.21,106.86,0.5853378268758334,0.19,-0.40625,0.8999999999999999,17.27,,,2303,聯電,半導體類
2019Q4,51.62,23.03,1189.48,44.02,197.82,211.45,181.59,52.84,53.8,106.64,1.53,0.85,16.65,4.82,7.08,7.54,-19.58,125.09,0.1525795875952171,0.32,0.28,,17.66,,,2303,聯電,半導體類
2019Q3,-4.38,-1.82,-158.87,45.18,203.91,232.48,204.05,56.99,56.95,113.94,0.95,0.52,17.05,6.65,5.24,5.14,42.46,3.65,-0.186585955580412,0.25,0.6666666666666667,0.7857,17.48,,,2303,聯電,半導體類
2019Q2,15.92,7.31,1301.81,45.37,184.85,195.33,169.85,59.17,57.03,116.21,0.46,0.25,15.69,4.89,3.17,2.62,-210.24,-41.4,0.205070770254515,0.15,0.4999999999999998,-0.5,17.22,,,2303,聯電,半導體類
2019Q1,15.54,4.98,8836.39,43.92,191.57,278.84,242.99,64.73,55.03,119.75,0.04,0.03,6.94,-4.9,-1.07,0.28,171.34,-40.83,-0.0402248013105088,0.1,,-0.6429,17.58,,,2303,聯電,半導體類
2023Q4,8.32,8.1,381.05,71.9,340.15,126.38,100.76,86.02,45.6,131.62,5.51,1.49,8.06,4.1,4.4,3.66,-6.28,4.48,,2.66,-0.1987951807228914,0.1416309012875536,48.31,23.08333333333333,4.876666666666666,2382,廣達,電腦及週邊設備類
